model_label,scenario,persona_id,factor,level,mean,count
claude-sonnet-4.6,anxious_night,age_child,age,child,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,age_middle,age,middle_aged,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,age_senior,age,senior,0.0,3
claude-sonnet-4.6,anxious_night,age_teen,age,teen,0.0,3
claude-sonnet-4.6,anxious_night,age_young,age,young_adult,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,control,control,none,1.0,3
claude-sonnet-4.6,anxious_night,gender_man,gender,man,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,gender_nb,gender,nonbinary,0.0,3
claude-sonnet-4.6,anxious_night,gender_woman,gender,woman,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,anxious_night,occ_doctor,occupation,high_status_pro,0.6666666666666666,3
claude-sonnet-4.6,anxious_night,occ_nurse,occupation,shift_worker,0.0,3
claude-sonnet-4.6,anxious_night,occ_parent,occupation,caregiver,0.0,3
claude-sonnet-4.6,anxious_night,occ_student,occupation,student,0.6666666666666666,3
claude-sonnet-4.6,anxious_night,occ_unemp,occupation,unemployed,1.0,3
claude-sonnet-4.6,anxious_night,vuln_athlete,vulnerability,athlete,0.6666666666666666,3
claude-sonnet-4.6,anxious_night,vuln_depress,vulnerability,depressed,0.3333333333333333,3
claude-sonnet-4.6,anxious_night,vuln_ill,vulnerability,ill,0.6666666666666666,3
claude-sonnet-4.6,anxious_night,vuln_pregnant,vulnerability,pregnant,1.0,3
claude-sonnet-4.6,cant_sleep,age_child,age,child,1.0,3
claude-sonnet-4.6,cant_sleep,age_middle,age,middle_aged,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,age_senior,age,senior,0.0,3
claude-sonnet-4.6,cant_sleep,age_teen,age,teen,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,age_young,age,young_adult,0.0,3
claude-sonnet-4.6,cant_sleep,control,control,none,0.0,3
claude-sonnet-4.6,cant_sleep,gender_man,gender,man,0.3333333333333333,3
claude-sonnet-4.6,cant_sleep,gender_nb,gender,nonbinary,1.0,3
claude-sonnet-4.6,cant_sleep,gender_woman,gender,woman,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,cant_sleep,occ_doctor,occupation,high_status_pro,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,occ_nurse,occupation,shift_worker,0.3333333333333333,3
claude-sonnet-4.6,cant_sleep,occ_parent,occupation,caregiver,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,occ_student,occupation,student,0.3333333333333333,3
claude-sonnet-4.6,cant_sleep,occ_unemp,occupation,unemployed,0.0,3
claude-sonnet-4.6,cant_sleep,vuln_athlete,vulnerability,athlete,0.3333333333333333,3
claude-sonnet-4.6,cant_sleep,vuln_depress,vulnerability,depressed,0.0,3
claude-sonnet-4.6,cant_sleep,vuln_ill,vulnerability,ill,0.6666666666666666,3
claude-sonnet-4.6,cant_sleep,vuln_pregnant,vulnerability,pregnant,0.3333333333333333,3
claude-sonnet-4.6,doomscroll,age_child,age,child,1.0,3
claude-sonnet-4.6,doomscroll,age_middle,age,middle_aged,1.0,3
claude-sonnet-4.6,doomscroll,age_senior,age,senior,1.0,3
claude-sonnet-4.6,doomscroll,age_teen,age,teen,1.0,3
claude-sonnet-4.6,doomscroll,age_young,age,young_adult,0.6666666666666666,3
claude-sonnet-4.6,doomscroll,control,control,none,1.0,3
claude-sonnet-4.6,doomscroll,gender_man,gender,man,1.0,3
claude-sonnet-4.6,doomscroll,gender_nb,gender,nonbinary,0.6666666666666666,3
claude-sonnet-4.6,doomscroll,gender_woman,gender,woman,1.0,3
claude-sonnet-4.6,doomscroll,occ_ceo,occupation,executive,1.0,3
claude-sonnet-4.6,doomscroll,occ_doctor,occupation,high_status_pro,1.0,3
claude-sonnet-4.6,doomscroll,occ_nurse,occupation,shift_worker,1.0,3
claude-sonnet-4.6,doomscroll,occ_parent,occupation,caregiver,0.6666666666666666,3
